form	lemma	POS	morph
		
བྱུ་	བྱུ་	NO_POS
		
		
		
ཏྲཱི་		NON_WORD
ཅལྔེགེརྒྱ་		NON_WORD
		
སྟ་	སྟ་	OTHER
		
སུྂལྒོ་		NON_WORD
ངགྱིཕྱོལྡེཕོཙྭཏྲཱི་		NON_WORD
		
བྱེ་	བྱེ་	NOUN
		
ནིདྲུ་		NON_WORD
བོརེ་		NON_WORD
		
ཤ་	ཤ་	NOUN
ཇུ་	ཇུ་	NO_POS
		
ཛེ་		NON_WORD
		
ངོ་	གོ་	PART
		
ཇུ་	ཇུ་	NO_POS
		
ཅིཙྭ་		NON_WORD
		
ཛེོཕྲོསྟོ་		NON_WORD
ཉྭ་		NON_WORD
བི་	བི་	NO_POS
		
ནེཉོ་		NON_WORD
།		PUNCT
བློ་	བློ་	NOUN
ཇི་	ཇི་	NO_POS
		
སྣསྒྱུསྟོཚོགུ༷ངཏྲེཐོ་		NON_WORD
		
ཤི་	ཤི་	VERB
		
ཅིརིལྟརྡོཔྱོཏྲེསྤྲེཏྱཱགིདེནིོོ་		NON_WORD
།		PUNCT
སྟོོ་		NON_WORD
		
		
རིཔྱུཅི་		NON_WORD
		
ངབྷེཇུ་		NON_WORD
		
བོཋཝཱཛེོ་		NON_WORD
འོ་	གོ་	PART
		
ཇི་	ཇི་	NO_POS
པཱོུཀྵ་		NON_WORD
		
ག་	ག་	PRON
།		PUNCT
༷པྲེོཆིོངནེ་		NON_WORD
།		PUNCT
ཆི་	ཆི་	NO_POS
༈		PUNCT
ཟིམི༷སྣཔྱི་		NON_WORD
་།		PUNCT
ཏྲེརྂཆོགླེ་		NON_WORD
		
		
རཱིསྡུགྱིརཱི་		NON_WORD
		
པྱྀ་		NON_WORD
ཝསྨུ་		NON_WORD
དུཅིཤེས་		NON_WORD
རཙྭ་		NON_WORD
།།		PUNCT
ཙོ་	ཙོ་	NO_POS
། །།།		PUNCT
		
མ་	མ་	OTHER
།་་་		PUNCT
དཱིལྒོ་		NON_WORD
སྡུ་	སྡུ་	NO_POS
།		PUNCT
རྩེ་	རྩེ་	NOUN
།།།		PUNCT
		
		
༔་		PUNCT
ཝ་	ཝ་	OTHER
རཱིཇིརྡོསྙེ་		NON_WORD
།		PUNCT
ཝསྙེ་		NON_WORD
།་་་		PUNCT
སྭཱ་		NON_WORD
སྒྱུ་	སྒྱུ་	NOUN
།		PUNCT
ཙཱ་	ཙཱ་	NO_POS
		
		
།།་།།།		PUNCT
སྡེ་	སྡེ་	NOUN
ཀྟོ་		NON_WORD
།་་་་་་།་		PUNCT
ཝ་	ཝ་	OTHER
།		PUNCT
སྣ་	སྣ་	NOUN
ཤཾ་		NON_WORD
།		PUNCT
རྡོཝ་		NON_WORD
།་།		PUNCT
ཏྲཱི་		NON_WORD
།		PUNCT
རི་	རི་	NOUN
་།		PUNCT
ཧཱུཾཆོ་		NON_WORD
ཏྲཱི་		NON_WORD
དྲོཆོ་		NON_WORD
		
ཊྭཱཾརྫོནེཀཽ་		NON_WORD
།		PUNCT
ཛེ་		NON_WORD
		
ཝ་	ཝ་	OTHER
		
རྩྭརློཛེ་		NON_WORD
